brand;name;id;salePriceU;priceU;sale;rating;feedbacks;supplier;supplierRating;link
BEREKЕ;Чайник электрический металлический;177424447;658.0;2220.0;70;4.5;2612;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/177424447/detail.aspx
KONONO;Чайник электрический металлический 2,3 л 1800W;156275686;955.0;3500.0;72;4.2;3654;Konono Shop;4.7;https://www.wildberries.ru/catalog/156275686/detail.aspx
FELFRI;Чайник электрический;189606656;2755.0;8616.0;68;4.8;260;FELFRI;4.7;https://www.wildberries.ru/catalog/189606656/detail.aspx
BEREKЕ;Чайник электрический стеклянный;177109439;968.0;4600.0;78;4.4;1554;BEREKE OFFICIAL;4.5;https://www.wildberries.ru/catalog/177109439/detail.aspx
Thomson;Чайник электрический K10E-0201;183913755;1474.0;2700.0;45;4.9;1892;ТехПро;4.7;https://www.wildberries.ru/catalog/183913755/detail.aspx
Inhouse;Чайник электрический стеклянный IEK-1726 2200 Вт, 1.7 л;168952806;1637.0;4198.0;61;4.8;2511;INHOUSE;4.8;https://www.wildberries.ru/catalog/168952806/detail.aspx
ARDI Kuche;Чайник для плиты;47538313;1392.0;4740.0;70;4.8;2616;Все для Дома;4.7;https://www.wildberries.ru/catalog/47538313/detail.aspx
DG;Электрический чайник с подогревом;203382895;2356.0;10000.0;76;5.0;1;;4.8;https://www.wildberries.ru/catalog/203382895/detail.aspx
Larfex;Электрический чайник;187617381;1501.0;5500.0;72;4.6;169;Larfex;4.7;https://www.wildberries.ru/catalog/187617381/detail.aspx
LUMME;Чайник электрический металлический 2 л;162505002;949.0;3690.0;74;4.2;4180;ФМ Валерия;4.6;https://www.wildberries.ru/catalog/162505002/detail.aspx
Blackton;Чайник электрический Bt KT1800G 1.8л 1500Вт;158524627;1028.0;1884.0;45;4.6;8324;Официальный магазин BQ и Blackton;4.6;https://www.wildberries.ru/catalog/158524627/detail.aspx
JOY!;Чайник заварочный стеклянный - заварник 900 мл;9333503;445.0;1191.0;62;4.8;102704;ПЕРЕЙТИ В КАТАЛОГ JOY!;4.8;https://www.wildberries.ru/catalog/9333503/detail.aspx
FELFRI;Чайник электрический стеклянный с подсветкой;189615615;1315.0;5442.0;75;4.5;216;FELFRI;4.7;https://www.wildberries.ru/catalog/189615615/detail.aspx
Hott;Чайник электрический стеклянный с подсветкой прозрачный;205904361;759.0;999.0;24;0.0;0;DiRetail;4.7;https://www.wildberries.ru/catalog/205904361/detail.aspx
